Company,Sector,Date,index,Price,Open,High,Low,Change %,vol multiplier,Volume,Company Name,SubSector,Market Classification,Shares Outstanding,Market Cap
NB,CONSUMER GOODS,2000-06-02,4898,0.18,18.39,0.18,0.18,0.00%,1000000.0,76390000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-06-05,4897,0.18,18.4,0.18,0.18,0.00%,1000000.0,131770000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-06-06,4896,0.19,19.32,19.32,0.19,5.56%,1000000.0,275000000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5886775114.8
NB,CONSUMER GOODS,2000-06-07,4895,0.18,0.18,0.18,0.18,-5.26%,1000000.0,9940000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-06-08,4894,0.18,0.18,0.18,0.18,0.00%,1000000.0,282010000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-06-09,4893,0.17,17.28,0.17,0.17,-5.56%,1000000.0,16590000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-12,4892,0.16,16.42,0.16,0.16,-5.88%,1000000.0,26010000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-06-13,4891,0.16,15.8,0.16,0.16,0.00%,1000000.0,112820000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-06-15,4890,0.16,15.8,0.16,0.16,0.00%,1000000.0,55720000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-06-16,4889,0.16,15.8,0.16,0.16,0.00%,1000000.0,35150000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-06-19,4888,0.17,16.52,0.17,0.17,6.25%,1000000.0,23610000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-20,4887,0.17,16.64,0.17,0.17,0.00%,1000000.0,13970000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-21,4886,0.17,16.64,0.17,0.17,0.00%,1000000.0,24240000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
